"employee_id","directorate","role","grade","tgv_name","tv_name","baseline_score","user_score","tv_match_rate"
EMP100034,HR & Corp Affairs,Supply Planner,III,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,116,108.41
EMP100035,Technology,Brand Executive,V,"Leadership, Influence, Social Orientation, Collaboration",Dominant-Influencer,109.0,103,94.5
EMP100036,Technology,Brand Executive,V,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,120,117.65
EMP100037,Commercial,Supply Planner,IV,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,109,103.81
EMP100038,HR & Corp Affairs,Supply Planner,V,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,93,89.42
EMP100039,HR & Corp Affairs,HRBP,III,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,125,109.65
EMP100040,Technology,HRBP,IV,"Social Orientation, Collaboration, Leadership, Influence",Influencer-Dominant,110.0,112,101.82
EMP100041,Commercial,Finance Officer,III,"Social Orientation, Collaboration, Adaptability, Stress Tolerance",Influencer-Steadiness,106.0,86,81.13
EMP100042,HR & Corp Affairs,Supply Planner,III,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,139,136.27
EMP100043,HR & Corp Affairs,Finance Officer,III,"Adaptability, Stress Tolerance, Leadership, Influence",Steadiness-Dominant,108.0,109,100.93
EMP100044,HR & Corp Affairs,Sales Supervisor,III,"Social Orientation, Collaboration, Leadership, Influence",Influencer-Dominant,110.0,82,74.55
EMP100045,Commercial,Data Analyst,V,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,111,103.74
EMP100046,Commercial,Brand Executive,IV,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,109,103.81
EMP100047,Commercial,Data Analyst,III,"Social Orientation, Collaboration, Leadership, Influence",Influencer-Dominant,110.0,110,100.0
EMP100048,Technology,HRBP,III,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,125,109.65
EMP100049,Commercial,Sales Supervisor,V,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,133,126.67
EMP100050,Technology,HRBP,III,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,131,124.76
EMP100051,Technology,Sales Supervisor,III,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,110,94.83
EMP100052,HR & Corp Affairs,HRBP,V,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,126,121.15
EMP100053,Commercial,Brand Executive,V,"Social Orientation, Collaboration, Adaptability, Stress Tolerance",Influencer-Steadiness,106.0,140,132.08
EMP100054,Commercial,HRBP,III,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,88,77.19
EMP100055,Commercial,Supply Planner,IV,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,124,115.89
EMP100056,HR & Corp Affairs,Brand Executive,III,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,109,103.81
EMP100057,Technology,Supply Planner,V,"Social Orientation, Collaboration, Adaptability, Stress Tolerance",Influencer-Steadiness,106.0,123,116.04
EMP100058,HR & Corp Affairs,Data Analyst,V,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,109,93.97
EMP100059,Commercial,Finance Officer,V,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,92,80.7
EMP100060,Technology,Finance Officer,IV,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,109,93.97
EMP100061,Commercial,Supply Planner,V,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,109,104.81
EMP100062,HR & Corp Affairs,HRBP,IV,"Leadership, Influence, Social Orientation, Collaboration",Dominant-Influencer,109.0,89,81.65
EMP100063,Commercial,Brand Executive,III,"Adaptability, Stress Tolerance, Conscientiousness, Reliability",Steadiness-Conscientious,110.0,109,99.09
EMP100064,Technology,Supply Planner,V,"Social Orientation, Collaboration, Adaptability, Stress Tolerance",Influencer-Steadiness,106.0,96,90.57
EMP100065,HR & Corp Affairs,Brand Executive,IV,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,90,77.59
EMP100066,Commercial,Finance Officer,III,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,84,82.35
EMP100067,Commercial,Finance Officer,V,"Adaptability, Stress Tolerance, Leadership, Influence",Steadiness-Dominant,108.0,101,93.52
EMP100068,HR & Corp Affairs,Finance Officer,III,"Leadership, Influence, Social Orientation, Collaboration",Dominant-Influencer,109.0,109,100.0
EMP100069,Technology,HRBP,III,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,93,89.42
EMP100070,Technology,Supply Planner,III,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,137,130.48
EMP100071,Technology,HRBP,III,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,107,101.9
EMP100072,Commercial,Finance Officer,III,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,87,82.86
EMP100073,Commercial,Finance Officer,V,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,104,100.0
EMP100074,HR & Corp Affairs,Data Analyst,V,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,131,124.76
EMP100075,Technology,Sales Supervisor,III,"Social Orientation, Collaboration, Leadership, Influence",Influencer-Dominant,110.0,109,99.09
EMP100076,HR & Corp Affairs,Supply Planner,III,"Social Orientation, Collaboration, Adaptability, Stress Tolerance",Influencer-Steadiness,106.0,80,75.47
EMP100077,Technology,Finance Officer,III,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,135,132.35
EMP100078,Technology,Supply Planner,V,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,84,73.68
EMP100079,Commercial,Finance Officer,III,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,122,114.02
EMP100080,Technology,Data Analyst,IV,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,87,82.86
EMP100081,Technology,Supply Planner,V,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,138,118.97
EMP100082,Technology,Brand Executive,V,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,133,114.66
EMP100083,Technology,Supply Planner,IV,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,99,97.06
EMP100084,Technology,Supply Planner,IV,"Adaptability, Stress Tolerance, Leadership, Influence",Steadiness-Dominant,108.0,118,109.26
EMP100085,HR & Corp Affairs,Data Analyst,V,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,109,93.97
EMP100086,Commercial,HRBP,V,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,110,105.77
EMP100087,HR & Corp Affairs,Brand Executive,V,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,109,101.87
EMP100088,Commercial,Finance Officer,III,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,83,71.55
EMP100089,Technology,Sales Supervisor,V,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,109,106.86
EMP100090,HR & Corp Affairs,Supply Planner,IV,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,109,101.87
EMP100091,Commercial,Finance Officer,IV,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,102,95.33
EMP100092,Technology,Data Analyst,V,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,109,104.81
EMP100093,Technology,Data Analyst,IV,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,93,80.17
EMP100094,Technology,Brand Executive,III,"Adaptability, Stress Tolerance, Leadership, Influence",Steadiness-Dominant,108.0,95,87.96
EMP100095,HR & Corp Affairs,Finance Officer,IV,"Adaptability, Stress Tolerance, Conscientiousness, Reliability",Steadiness-Conscientious,110.0,109,99.09
EMP100096,Commercial,Data Analyst,IV,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,109,95.61
EMP100097,Technology,Supply Planner,III,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,109,103.81
EMP100098,Commercial,Finance Officer,V,"Social Orientation, Collaboration, Leadership, Influence",Influencer-Dominant,110.0,128,116.36
EMP100099,HR & Corp Affairs,HRBP,III,"Adaptability, Stress Tolerance, Conscientiousness, Reliability",Steadiness-Conscientious,110.0,109,99.09
EMP100100,Commercial,Brand Executive,IV,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,109,103.81
EMP100101,HR & Corp Affairs,HRBP,V,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,81,77.88
EMP100102,Technology,Finance Officer,III,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,111,97.37
EMP100103,Technology,Data Analyst,IV,"Social Orientation, Collaboration, Adaptability, Stress Tolerance",Influencer-Steadiness,106.0,105,99.06
EMP100104,HR & Corp Affairs,HRBP,III,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,102,97.14
EMP100105,HR & Corp Affairs,Brand Executive,III,"Adaptability, Stress Tolerance, Conscientiousness, Reliability",Steadiness-Conscientious,110.0,109,99.09
EMP100106,Technology,Brand Executive,V,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,102,100.0
EMP100107,Commercial,HRBP,IV,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,104,99.05
EMP100108,Technology,Finance Officer,IV,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,129,122.86
EMP100109,Technology,Data Analyst,V,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,91,86.67
EMP100110,HR & Corp Affairs,Sales Supervisor,V,"Adaptability, Stress Tolerance, Leadership, Influence",Steadiness-Dominant,108.0,97,89.81
EMP100111,Commercial,Finance Officer,V,"Social Orientation, Collaboration, Leadership, Influence",Influencer-Dominant,110.0,83,75.45
EMP100112,Technology,Finance Officer,III,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,132,125.71
EMP100113,Commercial,Brand Executive,IV,"Social Orientation, Collaboration, Leadership, Influence",Influencer-Dominant,110.0,117,106.36
EMP100114,HR & Corp Affairs,HRBP,IV,"Leadership, Influence, Social Orientation, Collaboration",Dominant-Influencer,109.0,109,100.0
EMP100115,HR & Corp Affairs,Brand Executive,III,"Social Orientation, Collaboration, Adaptability, Stress Tolerance",Influencer-Steadiness,106.0,90,84.91
EMP100116,HR & Corp Affairs,Supply Planner,V,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,109,95.61
EMP100117,HR & Corp Affairs,HRBP,IV,"Leadership, Influence, Social Orientation, Collaboration",Dominant-Influencer,109.0,86,78.9
EMP100118,Technology,HRBP,V,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,109,104.81
EMP100119,Commercial,Supply Planner,IV,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,102,89.47
EMP100120,Commercial,Data Analyst,IV,"Adaptability, Stress Tolerance, Conscientiousness, Reliability",Steadiness-Conscientious,110.0,127,115.45
EMP100121,Technology,HRBP,III,"Adaptability, Stress Tolerance, Leadership, Influence",Steadiness-Dominant,108.0,84,77.78
EMP100122,Technology,Supply Planner,V,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,109,93.97
EMP100123,Commercial,Sales Supervisor,IV,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,107,104.9
EMP100124,HR & Corp Affairs,Data Analyst,III,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,109,103.81
EMP100125,HR & Corp Affairs,Sales Supervisor,V,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,109,103.81
EMP100126,Technology,Sales Supervisor,V,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,120,112.15
EMP100127,Commercial,Supply Planner,V,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,109,103.81
EMP100128,HR & Corp Affairs,HRBP,IV,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,117,111.43
EMP100129,Commercial,Data Analyst,IV,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,109,93.97
EMP100130,Technology,Brand Executive,III,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,84,82.35
EMP100131,Commercial,HRBP,V,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,102,95.33
EMP100132,HR & Corp Affairs,Data Analyst,V,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,118,103.51
EMP100133,Technology,HRBP,III,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,104,99.05
EMP100134,HR & Corp Affairs,Sales Supervisor,III,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,119,102.59
EMP100135,Technology,HRBP,III,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,113,107.62
EMP100136,Commercial,Data Analyst,III,"Social Orientation, Collaboration, Leadership, Influence",Influencer-Dominant,110.0,131,119.09
EMP100137,HR & Corp Affairs,Brand Executive,III,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,125,119.05
EMP100138,HR & Corp Affairs,Finance Officer,V,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,109,104.81
EMP100139,Technology,HRBP,V,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,109,104.81
EMP100140,Commercial,Supply Planner,III,"Leadership, Influence, Social Orientation, Collaboration",Dominant-Influencer,109.0,109,100.0
EMP100141,Technology,Supply Planner,V,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,124,118.1
EMP100142,Technology,HRBP,III,"Social Orientation, Collaboration, Leadership, Influence",Influencer-Dominant,110.0,109,99.09
EMP100143,Technology,Data Analyst,IV,"Social Orientation, Collaboration, Adaptability, Stress Tolerance",Influencer-Steadiness,106.0,122,115.09
EMP100144,Technology,HRBP,IV,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,109,103.81
EMP100145,Commercial,Sales Supervisor,III,"Adaptability, Stress Tolerance, Conscientiousness, Reliability",Steadiness-Conscientious,110.0,107,97.27
EMP100146,HR & Corp Affairs,Sales Supervisor,III,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,120,103.45
EMP100147,Commercial,Supply Planner,IV,"Social Orientation, Collaboration, Adaptability, Stress Tolerance",Influencer-Steadiness,106.0,109,102.83
EMP100148,Commercial,Brand Executive,III,"Social Orientation, Collaboration, Adaptability, Stress Tolerance",Influencer-Steadiness,106.0,120,113.21
EMP100149,Technology,HRBP,III,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,122,116.19
EMP100150,Commercial,Brand Executive,V,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,125,107.76
EMP100151,Technology,Finance Officer,III,"Leadership, Influence, Social Orientation, Collaboration",Dominant-Influencer,109.0,123,112.84
EMP100152,Technology,Data Analyst,V,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,93,89.42
EMP100153,Technology,Finance Officer,III,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,109,103.81
EMP100154,HR & Corp Affairs,Data Analyst,IV,"Social Orientation, Collaboration, Leadership, Influence",Influencer-Dominant,110.0,117,106.36
EMP100155,Technology,Finance Officer,III,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,109,106.86
EMP100156,Technology,HRBP,III,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,80,70.18
EMP100157,HR & Corp Affairs,Brand Executive,V,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,118,113.46
EMP100158,Commercial,HRBP,V,"Adaptability, Stress Tolerance, Leadership, Influence",Steadiness-Dominant,108.0,137,126.85
EMP100159,HR & Corp Affairs,HRBP,V,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,109,103.81
EMP100160,HR & Corp Affairs,Brand Executive,IV,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,133,126.67
EMP100161,Technology,Supply Planner,III,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,113,110.78
EMP100162,Commercial,Sales Supervisor,IV,"Leadership, Influence, Social Orientation, Collaboration",Dominant-Influencer,109.0,138,126.61
EMP100163,Technology,Data Analyst,III,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,137,131.73
EMP100164,HR & Corp Affairs,Data Analyst,III,"Social Orientation, Collaboration, Adaptability, Stress Tolerance",Influencer-Steadiness,106.0,109,102.83
EMP100165,Commercial,Supply Planner,V,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,123,106.03
EMP100166,Technology,HRBP,III,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,109,104.81
EMP100167,Technology,HRBP,III,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,119,116.67
EMP100168,Commercial,Finance Officer,V,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,114,108.57
EMP100169,HR & Corp Affairs,HRBP,IV,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,101,87.07
EMP100170,Technology,Brand Executive,III,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,109,103.81
EMP100171,Technology,Data Analyst,V,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,136,130.77
EMP100172,Commercial,Supply Planner,V,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,115,109.52
EMP100173,HR & Corp Affairs,Supply Planner,V,"Social Orientation, Collaboration, Leadership, Influence",Influencer-Dominant,110.0,109,99.09
EMP100174,HR & Corp Affairs,Sales Supervisor,IV,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,109,104.81
EMP100175,Commercial,Data Analyst,III,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,133,127.88
EMP100176,Commercial,Supply Planner,III,"Adaptability, Stress Tolerance, Leadership, Influence",Steadiness-Dominant,108.0,134,124.07
EMP100177,Commercial,Sales Supervisor,V,"Leadership, Influence, Social Orientation, Collaboration",Dominant-Influencer,109.0,86,78.9
EMP100178,Technology,HRBP,III,"Leadership, Influence, Social Orientation, Collaboration",Dominant-Influencer,109.0,106,97.25
EMP100179,HR & Corp Affairs,Sales Supervisor,V,"Adaptability, Stress Tolerance, Leadership, Influence",Steadiness-Dominant,108.0,109,100.93
EMP100180,HR & Corp Affairs,Brand Executive,III,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,101,87.07
EMP100181,Commercial,HRBP,III,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,109,103.81
EMP100182,Technology,HRBP,III,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,109,106.86
EMP100183,HR & Corp Affairs,Data Analyst,V,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,109,103.81
EMP100184,HR & Corp Affairs,Finance Officer,V,"Conscientiousness, Reliability, Adaptability, Stress Tolerance",Conscientious-Steadiness,116.0,113,97.41
EMP100185,HR & Corp Affairs,Supply Planner,IV,"Adaptability, Stress Tolerance, Leadership, Influence",Steadiness-Dominant,108.0,109,100.93
EMP100186,Technology,Finance Officer,IV,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,128,121.9
EMP100187,HR & Corp Affairs,Supply Planner,III,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,88,86.27
EMP100188,Technology,Brand Executive,V,"Leadership, Influence, Social Orientation, Collaboration",Dominant-Influencer,109.0,92,84.4
EMP100189,HR & Corp Affairs,Brand Executive,V,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,129,122.86
EMP100190,Technology,Sales Supervisor,III,"Social Orientation, Collaboration, Leadership, Influence",Influencer-Dominant,110.0,112,101.82
EMP100191,Commercial,Sales Supervisor,III,"Adaptability, Stress Tolerance, Conscientiousness, Reliability",Steadiness-Conscientious,110.0,138,125.45
EMP100192,Technology,Sales Supervisor,IV,"Adaptability, Stress Tolerance, Social Orientation, Collaboration",Steadiness-Influencer,114.0,111,97.37
EMP100193,Commercial,Sales Supervisor,III,"Leadership, Influence, Social Orientation, Collaboration",Dominant-Influencer,109.0,134,122.94
EMP100194,Commercial,Brand Executive,IV,"Conscientiousness, Reliability, Leadership, Influence",Conscientious-Dominant,102.0,109,106.86
EMP100195,Commercial,Finance Officer,IV,"Social Orientation, Collaboration, Conscientiousness, Reliability",Influencer-Conscientious,104.0,124,119.23
EMP100196,Commercial,Data Analyst,V,"Leadership, Influence, Adaptability, Stress Tolerance",Dominant-Steadiness,107.0,109,101.87
EMP100197,Commercial,HRBP,V,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,83,79.05
EMP100198,Technology,Brand Executive,IV,"Adaptability, Stress Tolerance, Leadership, Influence",Steadiness-Dominant,108.0,87,80.56
EMP100199,Technology,Brand Executive,IV,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,97,92.38
EMP100200,HR & Corp Affairs,Sales Supervisor,IV,"Conscientiousness, Reliability, Social Orientation, Collaboration",Conscientious-Influencer,105.0,102,97.14
EMP100201,Technology,Brand Executive,V,"Leadership, Influence, Conscientiousness, Reliability",Dominant-Conscientious,105.0,101,96.19
